address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
Chott mariem Sousse Tunisie,,,,,Chott mariem,33,,1000,2,,remax,,Chott mariem Sousse Tunisie,https://www.remax.com.tn/listings/33
Chotrana Ariana Tunisie,,,,,Chotrana,28,,850000,2,,remax,,Chotrana Ariana Tunisie,https://www.remax.com.tn/listings/28
Ennasr 1-2 Ariana Tunisie,,,,,Ennasr 1-2,13,,320000,2,,remax,,Ennasr 1-2 Ariana Tunisie,https://www.remax.com.tn/listings/13
Fouchana Ben Arous Tunisie,,,,,Fouchana,19,,1213120,2,,remax,,Fouchana Ben Arous Tunisie,https://www.remax.com.tn/listings/19
Sousse corniche Sousse Tunisie,,,,,Sousse corniche,31,,1300,2,,remax,,Sousse corniche Sousse Tunisie,https://www.remax.com.tn/listings/31
Lac 2 Cité Les Pins Tunis Tunisie,,,,,Lac 2 Cité Les Pins,15,,2620,2,,remax,,Lac 2 Cité Les Pins Tunis Tunisie,https://www.remax.com.tn/listings/15
Oued Ellil Manouba Tunisie,,,,,Oued Ellil,37,,350000,2,,remax,,Oued Ellil Manouba Tunisie,https://www.remax.com.tn/listings/37
Ain Zaghouan Tunis Tunisie,,,,,Ain Zaghouan,36,,4800,1,,remax,,Ain Zaghouan Tunis Tunisie,https://www.remax.com.tn/listings/36
Rue de l'environnement - Coté café Barista - Cité Riadh 8090 Kélibia Nabeul Tunisie,,,,,Kélibia,182,,220000,2,,remax,,Kélibia Nabeul Tunisie,https://www.remax.com.tn/listings/182
Kélibia Nabeul Tunisie,Mansoura,,,,Kélibia,217,,1600000,2,,remax,,Kélibia Nabeul Tunisie,https://www.remax.com.tn/listings/217
Ain Zaghouan Tunis Tunisie,,,,,Ain Zaghouan,34,,386000,2,,remax,,Ain Zaghouan Tunis Tunisie,https://www.remax.com.tn/listings/34
Raoued Ariana Tunisie,,,,,Raoued,34,,650,2,,remax,,Raoued Ariana Tunisie,https://www.remax.com.tn/listings/34
Raoued Ariana Tunisie,,,,,Raoued,33,,700,2,,remax,,Raoued Ariana Tunisie,https://www.remax.com.tn/listings/33
Rue Corniche - La Marsa - 8090 Kélibia Nabeul Tunisie,,,,,Kélibia,167,,650000,2,,remax,,Kélibia Nabeul Tunisie,https://www.remax.com.tn/listings/167
Ain Zaghouan Tunis Tunisie,,,,,Ain Zaghouan,36,,1500,2,,remax,,Ain Zaghouan Tunis Tunisie,https://www.remax.com.tn/listings/36
SIDI THABET Jabbes Sidi Thabet Ariana Tunisie,,,,,Sidi Thabet,72,,199000,2,,remax,,Sidi Thabet Ariana Tunisie,https://www.remax.com.tn/listings/72
L'Aouina Tunis Tunisie,,,,,L'Aouina,26,,1100,2,,remax,1050,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/26
L'Aouina Tunis Tunisie,,,,,L'Aouina,25,,1100,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/25
L'Aouina Tunis Tunisie,,,,,L'Aouina,22,,1100,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/22
El Manar 1 Tunis Tunisie,,,,,El Manar 1,80,,0,2,,remax,,El Manar 1 Tunis Tunisie,https://www.remax.com.tn/listings/80
Khezama Sousse Tunisie,,,,,Khezama,30,,1500,2,,remax,,Khezama Sousse Tunisie,https://www.remax.com.tn/listings/30
Cité El Ghazala Ariana Tunisie,,,,,Cité El Ghazala,58,,234600,2,,remax,,Cité El Ghazala Ariana Tunisie,https://www.remax.com.tn/listings/58
Borj Louzir Ariana Tunisie,,,,,Borj Louzir,87,,310000,2,,remax,,Borj Louzir Ariana Tunisie,https://www.remax.com.tn/listings/87
Korba Korba Nabeul Tunisie,,,,,Korba,198,,790000,2,,remax,,Korba Nabeul Tunisie,https://www.remax.com.tn/listings/198
